text_no_emoji,lang,translated_text
oigan cuánto dura este vídeo,es,Hear how long this video lasts
fizeram mais propaganda jeremy q da marca kskskk,lv,made more advertising Jeremy Q of the Kskskk brand
week later still okay,af,week later still okay
sentava dms slk,lt,SENTAV DMS SLK
meee,nl,Meee
manager saw watching,tl,manager saw watching
cest écoeurant,fr,It is disgusting
que vivan los hombres,es,that men live
é um divo mesmo ne,pt,It's a divo
arere,da,sleep
buonanotte,fi,Good night
omg,sv,omg
omg,sv,omg
omg,sv,omg
well hello,cy,well hello
amém,hu,amen
make long,tl,make long
salivas,fi,saliva
wooow,af,wooow
salivating,fi,salivating
clara see liked advertisement,no,clara see liked advertisement
rosália não passa fome né amém,pt,"Rosalia does not hunger,"
ahahahhahaah il meglio,so,ahahahhahaah the best
made girls happy,nl,made girls happy
señores calvin klein un videito así de jungkook para cuando pregunta razonable gracias,es,Mr. Calvin Klein such a Jungkook video for when reasonable asks thanks
los comentarios,es,The comments
lindo delícia gsotsooooooo,es,beautiful delicious delight
ay,tl,Ay
que delicuaaaa,ca,that delicuaaaa
gostosoooo,af,tasty
meu homem,pt,my man
lip gallagher,tl,lip gallagher
ahahahahhahahahah,so,ahahahahhahahahahah
lawddddddddddd,cy,handdddddddddddddddddddddddo
uau,id,wow
lip baby doin,tl,lip baby doin
panas,tl,hot
dove cè gusto non cè,it,where there is taste there is no
beautiful,fr,beautiful
ahahahah,so,ahahahah
yeah girl sees,id,yeah girl sees
commenti sono memorabili,it,comments are memorable
mais quoi euhhhhh,fr,But what uhhhhhh
ti voglio bene ciao,it,I love you bye
comment kills,fr,comment kills
io così,it,I so
yes madam,so,yes madam
siam sempre qua eh,pt,Always here eh
girl dinneeeeer,af,girl dinneeeeer
che stiamo scherziamo,it,that we are joke
guardo il video leggo commenti e metto seriamente dubbio la mia eterosessualità,it,I watch the video I read comments and seriously I doubt my heterosexuality
girl dinner,it,girl dinner
yes chef,cy,Yes chef
meu deus ne gente,fr,my god ne people
loose,et,loose
yes baby,tr,yes baby
ti prego commenti ahahahaha,it,Please comments ahahahaha
ti penso,it,I think about you
getting hot,af,getting hot
limit exist,ro,limit exist
drool,af,drool
mi tocayo,so,My Toocay
por qué dura horas,pt,Why last hours
este regalito te va encantar,es,This little gift will love
day eyes let,tr,day eyes let
rosalia liked,et,rosalia liked
ça va faire fois je la regarde,fr,it will do once I look at her
feeling feelings,nl,feeling feelings
jesus train hide look,et,jesus train hide look
çok kabul et,tr,accept a lot
haha jag skriver som någon nedan vilken fantastisk dag att ha,sv,haha jag skriver som någon nedan vilken fantastisk dag att ha
hey jungkooks turn,et,hey jungkooks turn
madre mia,pt,my mother
damn,id,damn
si digo lo que realmente pienso cierran la cuenta,es,If I say what I really think about the account
comment century,fr,comment century
calvin klein hai fatto gol,it,Calvin Klein you scored goals
omg,sv,omg
che dire amo,it,What can I say I love
despues de ver esto ya nunca mas vere los hombres igual quede hipnotizada gracias calvin klein x este video q dura horas,es,"After seeing this, the men will never see the same."
drooling video lasting days,tl,drooling video lasting days
слишком горячо,ru,Too hot
горячо и влажно,ru,hot and wet
queremos,es,we want
girrlll dinner,it,girrlll dinner
hypnotized,cs,hypnotized
que bien come la rosalia,es,How good the Rosalia eats
beyaz bir insanı bu kadar mı seksi yapar,tr,Does a white person make this so sexy
quanto posso amare quest uomo non si spiega,it,how much I can love this man is not explained
mijn mond valt open,nl,My mouth falls open
god bless calvin klein,no,god bless calvin klein
got hot,af,got hot
nah tell tell say literally,it,nah tell tell say literally
omg,sv,omg
eu moro aqui,fr,I live here
più scorro più rido,it,Firing Rida
calvin klein vc sabe oq vc fez,ro,Calvin Klein you know what you did
acho que ninguém vai achar aqui que homem gostoso é esse,pt,I think nobody will find here what a hot man is this
que vivan los hombres de su raza,es,that the men of their race live
womans,af,womans
la ragione per cui sono etero grazie di cuore calvin klein,it,The reason why I am straight for the heart of Calvin Klein
snälla,fi,please
lip,tl,lip
nerde olm,tr,where is not
hahahahaha,so,Hahahahaha
calvin vc não tinha esse direito,pt,Calvin you didn't have this right
real,ro,real
astaghfirullahalazim,tr,Astaghfirullahalazim
lip grew,af,lip grew
best comment far,fr,best comment far
amém,hu,amen
hahahha,so,hahahha
buenos días que vivan los hombres,es,good morning men live
girl lunch,it,girl lunch
joking meeee,fi,joking meeee
best day ever,da,best day ever
buen provecho mi rosalía,sk,B the Rosalia
diosssss,it,diosssss
dadddy,cy,dadddy
calvin klein obrigada por,sl,Calvin Klein thanks for
riscaldamento globale colpa,it,riscaldamento globale colpa
grazie calvin klein,nl,Thanks Calvin Klein
suddeni love life,it,suddeni love life
understand,de,understand
curou minha depressão,pt,Healed my depression
esse video tem horas,pt,esse video tem horas
nonononn,it,nonononn
ja faz dias que aqui,es,It's been days since here
tô presa nesse vídeo tem dias scrr,pt,I'm stuck in this video has days scrr
sinoooon ils mettent le paquet dans cette pub là,fr,Sinooon they put the package in this ad
provecho mana,sk,Manda benefit
meu deus morri e fui p ceu,fr,My God I died and went to sky
roman empire,pt,roman empire
se compri le mutande ti danno pure lui chiedo per unamica,it,"If you buy your underwear, I also ask you for university"
roman empire,fr,roman empire
ora che ci sono saldi ne,it,Now that there are sales
day eyes,so,day eyes
achei um novo vício ficar olhando esse vídeo loop infinito,pt,I found a new addiction to look at this infinite loop video
minha nova obsessão,pt,My new obsession
also,ca,also
binabalik balikan,tl,Returns back
heto ako nakangiti sa phone ko,tl,here I am smiling at my phone
gay,so,gay
girl dinner,no,girl dinner
man hotttt,fi,Man Hotttt
nuevo novio de,es,New boyfriend of
ohmygod,cy,Ohmygod
oh gosh,cy,oh gosh
mdr au sens propre,fr,MDR in the literal sense
quero tatuar esse comercial,pt,quero tatuar esse comercial
rosalía nunca dude de ti,es,rosalía nunca dude de ti
mio amore,pt,my love
cannot seen liking,fi,cannot seen liking
kalhmera mia idea,et,kalhmera mia idea
αχαχχαχαχαζαχ ε οχι,el,AHAHAHAHAHAHAHAHA
comments,fr,comments
amazing day alive,tl,amazing day alive
проверьте пульс,ru,Check the pulse
сука,mk,сука
omg,sv,omg
раз посмотрела шучу тысячу,ru,раз посмотрела шучу тысячу
yes chef,cy,Yes chef
good job,so,good job
heh,nl,heh
heb je dit meegekregen,nl,Did you get this
oh gosh,cy,oh gosh
next james,sk,next james
dios bendiga calvin klein,af,God bless Calvin Klein
tobat luh,id,tobal
save dulu buat,ro,Save first to do
jajajajajajjaa vickkkkyyyy,fi,Distributor Vickkkkyyyy
amén,hu,amen
god,cy,god
jesucrista,hr,Jesus
god bless jeremy allen,no,god bless jeremy allen
work,af,work
omg,sv,omg
ok,sk,ok
jokek,fi,jokek
איך אפשר שלא,he,How can you not
viada eu tenho asma,pt,I have asthma
vai ser eu ai,ca,It will be me
madre mía rosalia bájale,es,My my mother Bájale
girl dessert,de,girl dessert
thank jesus,hr,thank jesus
see,af,see
pregnant,it,pregnant
way kickstart,pl,way kickstart
much underwear wearing,de,much underwear wearing
ck gak pernah gagal sih,id,ck gak pernah gagal sih
yes daddy,cy,yes daddy
holy moly,cy,holy moly
lip gone crazy,it,lip gone crazy
fine,it,fine
lol lip,es,lol lip
yes yes,tr,yes yes
get version,af,get version
deus sabe que faz,fr,God knows he does
buy bf build,tr,buy bf build
ufffff,cy,Uffffff
make shoot,sq,make shoot
girl,tr,girl
safada hahahhahaha,so,naughty hahahhaha
красивое видео,ru,Beautiful video
mulherrrrr,pt,woman
ck girl,tr,ck girl
damn,id,damn
omll thank,sv,omll thank
daddy,cy,daddy
es verdad si está muy,es,It's true if it's very
de comments omg,fr,of comments omg
dripping,tl,dripping
sheesh,sq,sheesh
ah,so,ah
um wow,pl,a wow
welcome,nl,welcome
yesterdqy,tr,yesterdqy
took get lip omg,af,took get lip omg
defina se meu gosto não tem salvação mesmo kkkkk,pt,Define if my taste has no salvation even kkkkk
תמיד אהבנו את ליפ,he,We always loved Lip
oh god,cy,oh god
misericórdia,es,compassion
maronn incoronat,it,maronn incoronat
jesus,hr,jesus
por deus,pt,by God
video long,es,video long
en estos momentos quiero ser la rosalía,es,At the moment I want to be the Rosalia
amigos essa e melhor propaganda da calvin clain,pt,Friends this and best advertising from Calvin Klein
guys marketing genius,lt,guys marketing genius
ну як це так,uk,well how is it like that
straight damn,sv,straight damn
good job,so,good job
pretesto fantastico per essere etero,it,Fantastic pretext to be straight
got,hr,got
já vi esse vídeo milhares de vezes,pt,I've seen this video thousands of times
si,fi,and
você não tinha esse direitoooooo,pt,You didn't have this right
god,cy,god
jaaaaaa,so,jaaaaaa
puedo parar,es,I can stop
obrigado por isso você entregou mais uma vez calvinn,pt,Thanks for this you delivered Calvinn once again
rock calvin klein like,af,rock calvin klein like
bahaha,so,Bahaha
love,sl,love
wufwufwufwufwufwufwufwuf knees,de,wufwufwufwufwufwufwufwuf knees
gallagheeeeer,so,gallagheeeeer
miau,lt,miau
really good underwear need,cy,really good underwear need
knees,et,knees
calvinklein sales,ro,calvinklein sales
ok never bored,sk,ok never bored
لعنت,ar,Curse
beh mi sa che sto cambiandole un,it,Well I know I'm changing a
good,so,good
te entiendo rosalia hasta,es,I understand you Rosalia until
mio marito,it,my husband
shame,so,shame
sanmıyorum videodan çıkmadan konuşun lütfen belli ki algınız dağılmış,tr,"I don't think you talk before you leave the video, please obviously your perception is scattered"
favorite gallagher,it,favorite gallagher
esta tremendo,pt,It is tremendous
ciao lip ti seguo da quando ti facevi la tua prof,it,Hi Lip I have followed you since you made you your teacher
biliyorsun bu işi gerçekten,tr,biliyorsun bu işi gerçekten
madre mía lip,es,My my lip
aaaaaaaaaaaaaaaaaa,so,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
σε περίπτωση που αναρωτιέσαι πώς έχει πάει η μέρα από το πρωί,el,In case you are wondering how the day has gone from the morning
welcome,nl,welcome
lilian passando mal com um baixinho gostoso,pt,Lilian getting sick with a tasty short
halleluja,fi,hallelujah
ვაფრენ,et,Fly
σας παρακαλω δε θα θελα,el,PLEASE I WILL NOT WANT
fix,ca,fix
maronna mij,fi,maronna me
só deus sabe quanto preciso desse homem na minha vida,pt,Only God knows how much I need this man in my life
order sending boxer,da,order sending boxer
selamlar kardeşi çok haklısın burdan da yazmak istedim,tr,"Greetings, brother, you were very right, I wanted to write from here"
teşekkür ederim kardeşi onay için yoktu ama iyi geldi,tr,Thank you brother was not for approval but it was good
yess cheffffff,cy,yess cheffffff
kardeşi ne demek yine haklısın onaya ihtiyacın yok demek için geldim bu sefer,tr,"What does your brother mean again, I came to say you don't need approval again this time"
por que el reel dura una hora,es,because the reel lasts an hour
dör,sv,Die
il like della,no,the like
real,ro,real
bu videonun onayla hiçbir alakası yoktur,tr,This video has nothing to do with confirm
lit,sq,lit
good god,cy,good god
cemil olabilir mi,tr,Could it be cemil
oh greek god achilles,nl,oh greek god achilles
ti amo,lt,I love you
rosalia nos entendemos ahora,pt,Rosalia we understand now
video roman empire,pt,video roman empire
love jaw need pedro pascal,sl,love jaw need pedro pascal
todisima,fi,Todisima
keep eye work,af,keep eye work
te entendemos rosalia,es,We understand you Rosalia
christ sake,de,christ sake
beautiful,fr,beautiful
big boy,tl,big boy
ovaries exploded,ca,ovaries exploded
frickinn straiibggghf,sv,frickinn straiibggghf
video ending,af,video ending
michelangelo mezarında canlandı davut için revize geldi diye bağırıyor toprağın altında,tr,michelangelo mezarında canlandı davut için revize geldi diye bağırıyor toprağın altında
el comercial es para hombres para mujeres,es,The commercial is for men for women
ha wow,so,Ha wow
tem quantas horas esse vídeo,pt,How many hours is this video
yes chef,cy,Yes chef
que isso um filme,pt,That a movie
give director,it,give director
chef dish,cy,chef dish
serep,no,Backup
jesucristoooooooooooo,et,jesucristoooooooooooo
buenos días,es,good morning
por que vídeo continua se,pt,Why video continues to
вот это мангуст конечно,mk,This is the mongoose of course
dying,cy,dying
вибачте але я не можу зупинитися,ru,sorry but I can't stop
neveer,nl,nevage
come model,it,come model
since long time lmao,tl,since long time lmao
наконецто фирма вернулась к мужественым моделям приятно смотреть,ru,"Finally, the company returned to courageous models nice to watch"
astaghfirullah,et,Astaghfirullah
video endless,da,video endless
omg eyes,tr,omg eyes
great start,sv,great start
definition greek god,af,definition greek god
amém,fr,amen
merci,es,merci
merinding,id,shiver
ok smiling end,no,ok smiling end
get free,da,get free
este hombre esta tallado por los dioses griegos,es,This man is carved by the Greek gods
siete pazzi,it,you are crazy
thinking thing,vi,thinking thing
get,nl,get
parte plis,fr,Parte more
versiyonu gelir mi,tr,Does the version come
omg,sv,omg
button,it,button
met kort haar nog,af,with short hair
jajajaj,sl,hahaha
awesome,af,awesome
yes girl,tr,yes girl
q vivan los hombres los amo,es,Q LIVE THE MEN LOVE YOU
dad sent,pt,dad sent
got share us,sq,got share us
pero lip,it,But lip
divino te queda todo,es,Divine has everything
gesù,af,Jesus
bg udh bg,so,Bg already bg
makkkaq nyampe,id,Makkkaq arrived
muy buenos días que vivan los hombres,es,very good morning that men live
kesukaan kita,fi,Our favorite
ust,fi,ust
дякую кіл цього відео я,uk,Thanks to the circle of this video i
lord,es,lord
gyat,hu,Known
lawdhammercy,cy,lawdhammercy
yes chef,cy,Yes chef
mi vicio,it,My vice
want get mens underwear,af,want get mens underwear
gustas desde,es,Like from
oh,fi,oh
te entendo rosália,pt,I understand you Rosalia
yes chef,cy,Yes chef
lucky cameraman,es,lucky cameraman
likes,et,likes
gyattttttt,hu,Known
someone deserves raise,fr,someone deserves raise
dying,cy,dying
pisa mim,tl,PISA ME
que bendición,es,What a blessing
mean,ro,mean
marketing marketing sold even man,da,marketing marketing sold even man
way jaw dropped,pl,way jaw dropped
te entiendo rosalía,es,I understand you Rosalia
rosalía ya te entiendo,es,Rosalia I understand you
esq yo soy fiel,es,esq I'm faithful
yes,tr,yes
bomboclatttt,it,bomboclatttt
hahahah,so,Hahahah
ele era só um chefe e conquista mundo,pt,ele era só um chefe e conquista mundo
chego perder respiração,pt,I arrive losing breathing
jajajajja estem sisisisiis tu muy fiel,fi,hahahaha this systisisis your very faithful
tremendooo,nl,tremendooo
oh,fi,oh
omgggg,tl,omgggg
rau abandonó el chat,es,Rau left the chat
ho rivalutato lip,it,I re -evaluated lip
ayyyyy dios,cy,Ayyyyy God
vdd meu lindo,sq,vdd my beautiful
jajajaj esta belleza ajjaja estoy traumada jajajaj,sl,hahaha this beauty ajjaja I'm traumada hahaha
yes chef,cy,Yes chef
mira los comentarios,es,Look at the comments
bendiciones,it,blessings
mi marido,so,My husband
seen drooling,af,seen drooling
limit exist,ro,limit exist
jajaja se nota,sl,hahaha it shows
hahhahahahha screaming,so,hahhahahahha screaming
yes,tr,yes
cantttso,it,cantttso
anyone else wondering kept socks,af,anyone else wondering kept socks
obrigada,so,thanks
god good,cy,god good
pareció un poco lindo jejej,es,It seemed a bit nice hehe
kennst du den noch,de,Do you still know that
color,it,color
sexy,ca,sexy
pigeons end overkill rest omaaaaagaaaad,et,pigeons end overkill rest omaaaaagaaaad
estou vervos,sk,I am verbs
ti tb,sq,TI TB
barking,id,barking
five days still,da,five days still
con razón tanto alboroto por este anuncio,es,With so much uproar for this announcement
ooit shameless gezien,nl,ever seen Shameless
td lo q se come la rosalía,es,TD what you eat the rosalia
esta bn ogt nmms,da,esta bn ogt nmms
pregunten el color de nada,es,Ask the color of nothing
doubts divine confirmation,fr,doubts divine confirmation
masterpiece,ro,masterpiece
omg,sv,omg
voyons maman,tl,Let's see mom
grazie grazie,pl,thanks thanks
yet somehow,da,yet somehow
ti prego fermami,it,Please stop me
con este comercial si compro toda la colección,es,With this commercial if I buy the entire collection
este es,fr,This is
la rosalía es tonta ni nada,es,Rosalia is silly or anything
welcome,nl,welcome
quiero ser la rosalía,es,I want to be the Rosalia
hubba hubba say,so,hubba hubba say
omg,sv,omg
girl dinner,no,girl dinner
lol comments post,fr,lol comments post
cest qui,fr,who is it
grazie,hr,Thank you
dammm huhuhuhu,id,Dammm huhuhuhu
help,nl,help
senza loop ormai,it,without loop now
oh boy,cy,oh boy
behind chef,de,behind chef
understand rosalia sees,es,understand rosalia sees
sono qui da un po,it,I've been here for a while
აზზე არხართ რამდენჯერ ვუყურე,et,How many times have I watched the channel
veas con la dieta de la rosalía,es,You see with the Rosalia diet
q bombonazoo,sk,I bombonazo
god,cy,god
never enough,no,never enough
music,ca,music
rosalía eres una goddess,es,Rosalia you are a Goddess
god may help us,so,god may help us
yum,tr,yum
loop,et,loop
bark,so,bark
lip best,nl,lip best
hahahahaha,so,Hahahahaha
perfektně,cs,perfectly
yes,tr,yes
bless,no,bless
love everyone love video girls gays big brands straight men,da,love everyone love video girls gays big brands straight men
girl,tr,girl
yes chef,cy,Yes chef
ахаха буває,uk,Ahaha happens
time alive,it,time alive
kaç kez izledin evet,tr,how many times did you watch it yes
yes chef,cy,Yes chef
welcome,nl,welcome
chucha lo vi veces,sk,Chucha I saw it times
te entiendo rosalía,es,I understand you Rosalia
omg,sv,omg
excuse,pt,excuse
yo,tr,yo
sjjajsksjss,hr,Sjjjskss
glad phillip gettin,sv,glad phillip gettin
um,pt,one
atta girl,it,atta girl
dead comment,es,dead comment
que vivan los hombres,es,that men live
hahahahahha,so,Hahahahahha
ohhhhh,et,Ohhhhh
new one,cy,new one
oh dear god,cy,oh dear god
אז כולנו כאן ביום שלישי,he,So we're all here on Tuesday
plz one many toys,pl,plz one many toys
oh glória,cy,Oh glory
definitely,it,definitely
awakened,sw,awakened
yes chef,cy,Yes chef
stop tagging husbands see,af,stop tagging husbands see
limit exist,ro,limit exist
muy contenta con esta campaña,es,very happy with this campaign
omg rosalia tiene buen ojo,fi,OMG ROSALIA has a good eye
unwell,cy,unwell
que vivan los hombres,es,that men live
masterpiece,ro,masterpiece
beautiful,fr,beautiful
get next time,sv,get next time
yes chef,cy,Yes chef
lo único que necesitaba era una colaboración con el tío,es,All I needed was a collaboration with the uncle
never felt like man,no,never felt like man
maravillosa jugada,sl,wonderful play
mid,et,mid
gay awakening,tl,gay awakening
hahahaha,so,hahahaha
fr,da,fr
wow made day,so,wow made day
este comentario lo es todo jajaja,es,This comment is all hahaha
hoy se duerme tarde ajajajajajaja,sl,Today you fall asleep late ajajajajaja
céyou tem pão graças deus,pt,Céyou has bread graces God
bro fr,pt,bro fr
ya obsesioné con el video jajaja,es,I already obsessed with the video hahaha
buen provecho rosalia,sk,A good benefit Rosalia
ay dio mío,es,Oh me
pur,ro,pur
gq man year,tl,gq man year
nominate next,it,nominate next
real,ro,real
queria ser,ca,I wanted to be
çok yücelerini gördüm ama senin gibisini asla,tr,I saw a lot of supremes but never like you
omg,sv,omg
lip forever,da,lip forever
good gravy,hr,good gravy
words,af,words
sí,cs,Yeah
muy buenos días que vivan los,es,very good morning living
ay rosalía,tl,is rosalía
jjjaajjajajjjajajaajaaj,fi,Judge
ojcze nasz któryś jest w niebie,pl,Our Father is in heaven
omg,sv,omg
obrigada por esse presente,pt,Thank you for this gift
take marky mark day,id,take marky mark day
sumagggggnificaaaaaa,tl,Sufferinggnificaaaaaaaaaaaaaaaa
foerte,no,lining
suspense terrible hope lasts,fr,suspense terrible hope lasts
deserves oscar,ca,deserves oscar
safadinha você calvinklein,pt,Safadinha you Calvinklein
even,nl,even
lo visto como veces,es,seen as times
mijn volgende serie,nl,my next series
smelter,da,smelter
better man,no,better man
que bendicion,es,what bless
tie rifatte locchi va,it,TIEE REMEMBERS WANT
feel like seen museum florence davidthe likeness uncanny,no,feel like seen museum florence davidthe likeness uncanny
girl seconds ago,it,girl seconds ago
today good day history,so,today good day history
yes chef,cy,Yes chef
obrigada,so,thanks
nah ending,id,nah ending
gay reawakening,tl,gay reawakening
enjoy,no,enjoy
us like,et,us like
tyvole,fi,Tyvol
yes,tr,yes
nice,pl,nice
roman empire,fr,roman empire
yes,tr,yes
que envidia te tengo rosalia,es,What envy I have Rosalia
mercy,cy,mercy
oh god,cy,oh god
madonna mia,et,Madonna Mia
big day mankind,so,big day mankind
girl whhaaat,so,girl whhaaat
wow,pl,wow
grazie calvin klein,nl,Thanks Calvin Klein
lip eva,et,lip eva
comment section gold,fr,comment section gold
personally never ending video,no,personally never ending video
happening rufffruffffarfffbark bark bark ruff arfff,cy,happening rufffruffffarfffbark bark bark ruff arfff
ich kann nicht mehr,de,I can not anymore
yed,tr,yed
yes,tr,yes
roman,ro,roman
gente que é isso estou trabalho,pt,People that this is work
onde é que é essa laje ai,fr,Where is this slab there
leave,fr,leave
present seeing,af,present seeing
hahahahahah yes yea,so,hahahahahah yes yea
girl cannot baby daddy sharing,cy,girl cannot baby daddy sharing
take bow,af,take bow
ya welcome,cy,ya welcome
lol,es,lol
happening,nl,happening
provecho rosalia jajajaja,sk,Product Rosalia hahahaha
volte,hu,volte
padre perdonami perché ho molto peccato pensieri parole opere e omissioni comunque grazie per questo bene che ci dai amen,it,Father forgive me because I have a lot of sin thoughts Words and omissions anyway thanks for this good that you give us amen
one many non è vero fai ciò che vuoi,it,One Many is not true do what you want
jajjajaja si puede ser tbn,sl,hahahaha if it can be tbn
protégeme señor con tu espíritu,es,Protect me Lord with your spirit
non ringraziarmi,it,do not thank me
cavolo,it,cabbage
buen provecho,sk,enjoy
ahhhhhhh,so,Ahhhhhhh
por dios amiga lo que te estas comiendo,es,By God friend what you are eating
going go look bible,tl,going go look bible
good god,cy,good god
aiuda,lt,Aiuda
good godi cannot,cy,good godi cannot
qualcuno faccia qualcosa,it,someone does something
это,ru,This
сексуализированная реклама мужчин кк вы сделали мой день круто,ru,Sexualized advertising of men KK you made my day cool
así es mejor,es,This is better
gorgeous sofa,af,gorgeous sofa
guarda bear,id,bear guard
daddy,cy,daddy
love jeremy,sl,love jeremy
yes jeff,hu,yes jeff
comments,fr,comments
grazie ne avevo proprio bisogno,it,thanks I really needed
recipe chef,it,recipe chef
meannnnn,fi,Meannn
mi tía la rossi teniendo toda la razón,es,my aunt the rossi being right
limit exist,ro,limit exist
kommentare hier fühle alle,de,Comments here feel everyone
omg,sv,omg
yes,tr,yes
oh mein gott ich schmelze der wohl schönste mann der welt chapeau die beste werbung seit mark wahlberg,de,Oh my god I melt the most beautiful man in the world of Chapeau the best advertising since Mark Wahlberg
got pregnant,it,got pregnant
daddy sorry daddy,cy,daddy sorry daddy
favorite movie,sk,favorite movie
oh god,cy,oh god
pure art,ro,pure art
god bless,cy,god bless
kyle xy,fi,kyle xy
edging intensify,da,edging intensify
das ist doch von dir,de,that's from you
god good,cy,god good
sedate,et,sedate
hahahaha,so,hahahaha
version water dance,af,version water dance
love comment section,fr,love comment section
opened comments section disappoint,fr,opened comments section disappoint
commenti mi sto sgallando,it,comments I'm shook myself
quale flessione,fr,what flexion
ah sì la flessione non lavevo notata,it,ah yes the flexion was not noticed
visão paraíso,pt,Vision Paradise
jajajaja si chef,sl,hahahaha if chef
yes yes comments,fr,yes yes comments
avec plaisiiiiir,fi,with pleaiiiiir
è loop,it,it is loop
yes chef,cy,Yes chef
oh,fi,oh
genial,nl,genial
uccidetemilo sto guardando loop,it,Kill it I am watching loop
feel,nl,feel
ich bin verliebt,de,I am in love
comments,fr,comments
lip indeed,nl,lip indeed
lo sto guardando loop da un paio di giorni,it,I've been watching it for a couple of days
jeremy ti amo,sk,areremy for the meo
respira cry respira hahaha,pt,respira cry respira hahaha
like,et,like
adoreiiiiii,ro,adoreiiiiii
speechless,de,speechless
e vabbe,nl,and okay
kkkk uno asiii vamooo mjmjmjmj,et,kkkkkkk is one Asii Asii Assii
tranqui,fr,calm
como colocaram um vídeo de duas horas,pt,How did they put a two -hour video
sí,cs,Yeah
knowwwww beauty,pl,knowwwww beauty
obsessed,et,obsessed
puedo dejar de verlo ayúdenme,es,I can stop seeing it help me
come bien la rosalia che,it,Like Bien La Rosalia who
eh va beh,nl,eh goes well
ossoooooo,et,ossoooooo
madreeeeeeeeee,nl,Maddeeeeeeeeee
tgank,id,tank
limit exist,ro,limit exist
yes chef,cy,Yes chef
desde que estaba jungkook ya tenían otros artistas ojalá hayan dejado algo guardado jdkwjjzjs,es,"Since I was Jungkook, they already had other artists hopefully they have left something saved JDKWJJZS"
wow,pl,wow
si chef,it,Yes chef
yes,tr,yes
lo que se está comiendo la rosalía por dios,es,What is eating the Rosalia for God
seen comments,nl,seen comments
nice idea long commercial,it,nice idea long commercial
eyes,tr,eyes
e vabbè,it,and oh well
bella la pubblicità delle scarpette non capisco che marca siano,it,Beautiful advertisement of the shoes I don't understand that it branded are
imagine cate blanchett,it,imagine cate blanchett
got bless advertising,no,got bless advertising
siento sucia,es,I feel dirty
такую рекламу я люблю,uk,I love such an advertisement
cette chanson,fr,This song
je ne connaissais pas merci pour cette agréable découverte,fr,I did not know thank you for this pleasant discovery
meninaaaaa eu vi issooooo ele parece aquelas estátuas gregas,et,girlaaaa i saw itoooo he looks like those Greek statues
el novio de rosalía está qué parejita mássss,es,Rosalía's boyfriend is what evenssss
sean mal pensad rosalia lo que le vuelve loca son sus ojos azules jijijiji,es,"Let Rosalia be wrong, what drives her crazy are her blue eyes jijiji"
never enough,no,never enough
roman empire,fr,roman empire
oh god,cy,oh god
salivating,fi,salivating
יאמי,he,Yummy
yes chef,cy,Yes chef
stunning,fi,stunning
calvins,ro,calvins
jacob elordi cuando le toca,es,Jacob Elordi when it's
volete dire qualcosa inizio io facc ru cazz,it,You want to say something I start I do rus cazz
estaba buscando este comentario al fin lo encontré jajajajjaja,es,"I was looking for this comment, I finally found him hahahahaha"
שבוע טוב נשמות,he,Good week souls
это ты что ль какой красивый,ru,Is it you what beautiful
find video video find,da,find video video find
esta en el sm ya volvera worry ahora toco otros artistas tbn,es,"This is already in the SM, now I play other tbn artists"
ogni volta che mi addormento nella mia testa sento questa canzone,it,Every time I fall asleep in my head I hear this song
comments,fr,comments
truuuuuuuue,et,truuuuuuuuuue
yes chef,cy,Yes chef
love,sl,love
girl dinner,it,girl dinner
yes,tr,yes
cami knows lip,pl,cami knows lip
yes jeff,hu,yes jeff
important,it,important
por qué este video es infinito,es,Why this video is infinite
nah insane,tl,nah insane
omg,sv,omg
yes chef,cy,Yes chef
god,cy,god
amen,ca,amen
retracto lo que dije antes de este dios griego,es,Get back what I said before this Greek God
well well lip,cy,well well lip
ahhhhh,so,Ahhhhh
dead ajsjans,et,dead ajsjans
girl breakfast girl lunch girl dinner girl dessert,de,girl breakfast girl lunch girl dinner girl dessert
take,fi,take
comment,fr,comment
dios mío,pt,my God
quantas vezes deus,pt,How many times God
thank feel seen,nl,thank feel seen
te sigo esperando jungkook,es,I'm still waiting for you
só por que tem de vídeo kkkk,pt,Just because there is a video kkkk
oh myyyyy,fi,oh salesyyy
obsessed videos,et,obsessed videos
te veo te respeto,it,I see you respect you
mis respetos la rosalía,es,My respects the Rosalia
yes chef,cy,Yes chef
ah ok,so,ah ok
que homem viu,pt,What man he saw
yes yes yes yes yes,tr,yes yes yes yes yes
yes chef,cy,Yes chef
unreal,ro,unreal
bruh,cs,Bruh
enjoy friend,no,enjoy friend
watching song,tl,watching song
madre mía,es,My mother
yes chef,cy,Yes chef
babe point,fr,babe point
lippy bby,tl,Lippy BBY
wow look lip go,pl,wow look lip go
gracias por tanto perdon por tan poco,es,Thanks for so much forgive for so little
crepo,ro,crepe
diablo,es,diablo
cara é uma obra de arte,pt,Cara is a work of art
god among men,tl,god among men
die kommentare,af,The comments
simplesmente melhorrrrrrrr,pt,simply betterrrrrrrrr
teee pasas rosi maestra,et,TA Pasas Rosi Mastra
fix,ca,fix
ah jeeze lip done went got fancy us,pl,ah jeeze lip done went got fancy us
check abs,de,check abs
que perfeição,pt,perfection
não consigo sair desse vídeo,pt,I can't get out of this video
yes chef,cy,Yes chef
pregnant,it,pregnant
feeling better life,no,feeling better life
gracias,es,gracias
