text_no_emoji,lang,translated_text
one,fi,one
ton homme,en,ton homme
wolverine,nl,wolverine
god good,cy,god good
yes chef,cy,Yes chef
בין הגברים הכי חתיכים על כדור הארץ,he,Among the most studded men on Earth
penso sia alto un la sua serie proprio,it,I think his series is tall
oh dreamy dayssss,en,oh dreamy dayssss
van matar así,hu,They are going to kill like this
gracias vida,es,Thanks life
haha mmm stuutjes,fi,haha mmm stuutjes
see,af,see
looks much like gene wilder,af,looks much like gene wilder
golllylyyyyyyyyyyyyy gracious,cy,golllylyyyyyyyyyyyyy gracious
smash,sq,smash
really like kitchen,en,really like kitchen
yes chef,en,yes chef
stop pls,nl,stop pls
mamma mi,et,mom me
wear anything else,en,wear anything else
love,sl,love
yes chef,cy,Yes chef
jusq po jusq po peanut butter jelly sandwich lang naman,id,jusq po jusq po peanut butter jelly sandwich lang naman
ti prego jeremy abbi pietà di noi,it,"please jeremy, have mercy on us"
way eat pb j sandwich,en,way eat pb j sandwich
gene wilder age,de,gene wilder age
lip gallagher,tl,lip gallagher
quanto sei bbbbbelloo,it,How much are you bbbbello
man,tl,man
siii cheff,ro,Yes Cheff
sì,vi,Yes
per vale,no,Vale
going miss close instagram,en,going miss close instagram
crusts like alfie,et,crusts like alfie
video hours long,en,video hours long
keep saying happens born linguine ratatouille,en,keep saying happens born linguine ratatouille
peanut butter jam,fi,peanut butter jam
sim resposta é essa,pt,yes answer is this
wish piece bread,en,wish piece bread
everyone pretend actual chef,en,everyone pretend actual chef
mamma mia,sw,Oh mama
buongiorno,it,Good morning
anybody else think would great john smith pocahontas,en,anybody else think would great john smith pocahontas
look arms,et,look arms
stop pliiiiis,et,stop pliiiiis
nara lucky really blueprint,en,nara lucky really blueprint
hey lip lip,tl,hey lip lip
behind chef,de,behind chef
yes many clothes,en,yes many clothes
ok chef,sk,Ok chef
kannst du mir bitte auch ein sandwich,de,Can you please also a sandwich
che senso,it,what sense
yes chef,cy,Yes chef
apanayiamou,sw,Adopt
think next james,en,think next james
see,af,see
oh lord,en,oh lord
thank ck,en,thank ck
beautiful day eyes right,en,beautiful day eyes right
weddings specifically wedding,en,weddings specifically wedding
nails blue steel,af,nails blue steel
thank,en,thank
would ask question would say,en,would ask question would say
period,it,period
good day,so,good day
wowwww,pl,wowwww
thanks mathias,en,thanks mathias
che uomo che sei,it,what man you are
leading short kings,en,leading short kings
ricopritelo di denaro,it,cover it with money
peanut butter jealous,en,peanut butter jealous
yes jeff,hu,yes jeff
right,en,right
ueeee bambolotto bonooo sto tramezzin,it,ueeee bambolotto bonoooo I'm tramezzin
want identified spoon,af,want identified spoon
yes chef,cy,Yes chef
yes chef,cy,Yes chef
grazie,pl,Thank you
another one,en,another one
tulung pak rt,tl,Tulung Pak Rt
hello chef,cy,hello chef
panoorin mo na daw,tl,watch it
un sandwichito por aquí,es,A sandwichito around here
yess cheff,cy,yess cheff
yes chef,cy,Yes chef
hello chef,cy,hello chef
thank daddy eat,cy,thank daddy eat
mahoney,tl,mahoney
buenos días,es,good morning
oh god,cy,oh god
tmb good morning,en,tmb good morning
woooaaahhhhh,so,woooaaahhhhh
wow tattoos,en,wow tattoos
bye guys ride,cy,bye guys ride
good day bread,so,good day bread
arms boy cannot wear whole shirt,en,arms boy cannot wear whole shirt
boom shakalakaaaaaa,so,boom shakalakaaaaaaa
dead,es,dead
thank,en,thank
ummmm,pt,Ummmm
snack getting snack,sv,snack getting snack
drooled,cy,drooled
yes chef,cy,Yes chef
yes chef,cy,Yes chef
peg board kitchen,nl,peg board kitchen
every thought promptly leaving brain,en,every thought promptly leaving brain
thoughts,en,thoughts
holy lord,cy,holy lord
could never make hate,en,could never make hate
hello wallpaper,en,hello wallpaper
yes chef,cy,Yes chef
lol serious,en,lol serious
thoughts good one make fall stairs like one january first saw,en,thoughts good one make fall stairs like one january first saw
calvin klein back fantasies,af,calvin klein back fantasies
yes chef,cy,Yes chef
va va voom,et,and and vom
te,sq,the
expect sandwich swag seriousness,en,expect sandwich swag seriousness
cuh dey boad,so,Sah de bod
yumurta kas yapmış essseeeikkk amk,tr,Eggs made muscle esseeikkk amk
sami amca sen misin,fi,Uncle Sami are you
looks amazing also really like jeans,et,looks amazing also really like jeans
today lol,so,today lol
point direction kitchen,en,point direction kitchen
خوشمزه و مثل خودت,fa,Delicious and like yourself
ooooo,so,ooooo
aw men feel look sydney sweeney,af,aw men feel look sydney sweeney
thank calvin klein,en,thank calvin klein
boom shakalaka yesssss,so,Boom Shakalak Esssss
production make peanut butter jelly sandwich cheap white bread,en,production make peanut butter jelly sandwich cheap white bread
never wanted pbj badly,en,never wanted pbj badly
murder,de,murder
daddy,cy,daddy
happy international day fr,en,happy international day fr
lord baby jesus heaven,en,lord baby jesus heaven
lol,es,lol
manifest babe,en,manifest babe
yes chef,cy,Yes chef
yes chef,cy,Yes chef
thank basically heart attack worthy,en,thank basically heart attack worthy
bicep game go brazy,pl,bicep game go brazy
know better day spoon,en,know better day spoon
chef,cy,chef
gagged,tl,gagged
pepperidge farms remembers,da,pepperidge farms remembers
god,cy,god
yes chef,en,yes chef
yes chef,cy,Yes chef
looks like chef even pbj,nl,looks like chef even pbj
meu dels,ca,mine
suddenly thinking peanut allergy really severe,en,suddenly thinking peanut allergy really severe
sean penn flesh,no,sean penn flesh
heard chef,en,heard chef
hello wait vote,nl,hello wait vote
yes chef,cy,Yes chef
goodness,hr,goodness
oh,fi,oh
need,af,need
q riko hombre,sq,Q riko man
much peanut butter,en,much peanut butter
ad jeans,hr,ad jeans
looking like,et,looking like
yas,sw,yas
eat,en,eat
jimminy cricket,cs,Jimminy Cricket
yes chef thank chef chef,en,yes chef thank chef chef
pinche papasito,it,Click Papasito
bad fit jeans looks tubular,et,bad fit jeans looks tubular
never like pbj much,sq,never like pbj much
não gostei da calça,pt,I didn't like the pants
yes chef,cy,Yes chef
best looking pbj,af,best looking pbj
sudden want sandwich,cy,sudden want sandwich
um ok wow,pl,an ok wow
never wanted tank top bad life,en,never wanted tank top bad life
never wanted spoon much life,en,never wanted spoon much life
yes chef,cy,Yes chef
lip,tl,lip
wishing sandwich bingo card amwishing really hard,en,wishing sandwich bingo card amwishing really hard
lip,tl,lip
tô passando mal,pt,I'm sick
saw meme said jeremy looked like gene wilder cannot unsee,af,saw meme said jeremy looked like gene wilder cannot unsee
oh noticed sandwich,en,oh noticed sandwich
sexy,ca,sexy
lordy,cy,Lords
deus te abençoe calvin klein,nl,God bless you Calvin Klein
chill dude app,fr,chill dude app
yes chef,en,yes chef
everything,en,everything
yes chef,cy,Yes chef
yes chef,cy,Yes chef
yes chef,cy,Yes chef
actually gets hotter gets older,nl,actually gets hotter gets older
took pants,af,took pants
lord mercy,en,lord mercy
god,cy,god
looks lot like sean penn,et,looks lot like sean penn
hot,cs,hot
damn dude,id,damn dude
yuh,so,yuh
bro made pb j sexy,pt,bro made pb j sexy
por qué este comercial dura cuatro horas,es,Why this commercial lasts four hours
hot,cs,hot
wish would see smile,en,wish would see smile
tu dérègles le marché frérot la,fr,you distinguish the Frérot market
geez,nl,geez
gorgeous,af,gorgeous
wearing pants,tl,wearing pants
wish pbj,en,wish pbj
puedo comer pbj forevel,es,I can eat Forevel PBJ
spoon ai though,en,spoon ai though
yes chef jajajaja,fi,Yes chef hahahaha
finally realized william fitchner reminds could definitely play movie dad,en,finally realized william fitchner reminds could definitely play movie dad
wow kitchen got one favorite rooms yes chef,en,wow kitchen got one favorite rooms yes chef
yaaaaaas chef,so,yaaaaaas chef
las tostadas mantequilla mermelada de mora son las mejores,es,Toast butter jam of blackberry are the best
still,sv,still
spoon mouth silly need spoon make pb j,et,spoon mouth silly need spoon make pb j
pbj never looked better,da,pbj never looked better
calvin klein coming thru christmas wish,en,calvin klein coming thru christmas wish
like strange looking cigarette,no,like strange looking cigarette
hotttnessss,fi,hotttnessss
never looked like victorian child christmas eve dinner,en,never looked like victorian child christmas eve dinner
never felt strongly white tank top,en,never felt strongly white tank top
real literally lives kitchen show ripped,en,real literally lives kitchen show ripped
whole ad giving white bread,en,whole ad giving white bread
dios mío,pt,my God
need,af,need
wow,pl,wow
w crust cut like targeting personally,en,w crust cut like targeting personally
wishful thinking,en,wishful thinking
jeans make arms look great,af,jeans make arms look great
meow,pl,meow
needed today thank hallowed,en,needed today thank hallowed
best sit,de,best sit
ovaries exploded every time jeremy,en,ovaries exploded every time jeremy
pinabarur yeli cuando quedamos merendar esta receta,es,Pinabarur Yeli When we have a recipe for
yes chef thank chef,en,yes chef thank chef
ask color anything,en,ask color anything
want sandwich,en,want sandwich
get muscles,fr,get muscles
yes chef,en,yes chef
comments,fr,comments
grow eat bread cut crust,en,grow eat bread cut crust
daaaaayum,so,daaaaayum
hot damn,sv,hot damn
por siempre lip,es,Forever Lip
mmmmmm,no,mmmmmmm
gd man give regimen solidly guy needs pass even,en,gd man give regimen solidly guy needs pass even
yes chef,cy,Yes chef
save us,hr,save us
dude got eat crust wasting food chef,en,dude got eat crust wasting food chef
yes lawwwddddd,cy,yes lawwwddddd
came say making bag know want see,tl,came say making bag know want see
viste que la vida es buena,es,You saw that life is good
la vida wey este ser humano si todo el rato,es,Wey life this human being if all the time
knew willy wonka could fine,en,knew willy wonka could fine
vibe,lv,vibe
es una caricatura de matt groening,ca,is a cartoon of matt groening
thank calvin klein,en,thank calvin klein
wetttt got change,nl,wetttt got change
que guapo mi amor,pt,how handsome my love
meeeeooooooow,nl,Meeaeieokow
pbj,hr,PBJ
yes,tr,yes
si fueras un perrito serías un staffy,es,If you were a puppy you would be a staff
boyfriend loves,da,boyfriend loves
god,cy,god
named sexiest man alive deserved getting luke newton,no,named sexiest man alive deserved getting luke newton
sexy,ca,sexy
gay god dam,so,gay god dam
wow worked ck campaigns years display work one brilliant better anything prior honest well done,en,wow worked ck campaigns years display work one brilliant better anything prior honest well done
love,sl,love
sobre la mesada el sándwich un platito te pido,es,About the Sandwich mesada a plate I ask you
después una tiene que ir por la vida sabiendo que existen estos hombres así como si nadacomo tratando de recordar semejantes jeans por dios una teniendo que seguir laburando,es,Then one has to go for life knowing that these men exist as if they swim trying to remember such jeans by God one having to continue working
thought sandwich guy,en,thought sandwich guy
yes lord,es,yes lord
bruh,cs,Bruh
oh yeah woo yeah woo yeah woo time,so,oh yeah woo yeah woo yeah woo time
yes lawd,cy,ndems
make pbj sandwich kisses chef,nl,make pbj sandwich kisses chef
mides primo,es,MIDES PRIMO
obvs hot feel like keeping hostage windowless basement,af,obvs hot feel like keeping hostage windowless basement
wow,pl,wow
yes chef,cy,Yes chef
crazy also love pbjs staying almost meant,en,crazy also love pbjs staying almost meant
serious please,en,serious please
hahah,so,hahah
madre mía,es,My mother
okay thank bringing hottie lives,en,okay thank bringing hottie lives
chef need hands provide,en,chef need hands provide
every time see someone cutting edge slices toast feel stabbing pain mixed pinch despair even jeremy allen white,en,every time see someone cutting edge slices toast feel stabbing pain mixed pinch despair even jeremy allen white
cutting crust,ro,cutting crust
yummy,tr,yummy
que ensucie toda la cocina las veces que quiera,es,that dirty the whole kitchen as many times as you want
yesss chef,en,yesss chef
hi jeremy,hr,Hi Jeremy
yesssssss cheffffffff,en,yesssssss cheffffffff
taste pls,et,taste pls
call white chocolate,en,call white chocolate
googling become loaf bread,en,googling become loaf bread
even feet sexy,nl,even feet sexy
shameless dejo un trauma ahora q cocina,pt,Shameless I leave a trauma now what cook
yes chef,cy,Yes chef
looking good shredded inspires one day calvin klein ad,en,looking good shredded inspires one day calvin klein ad
deniro,pt,Deniro
yes chef,cy,Yes chef
handsomeeee,nl,handsomeeee
got bit carm bear,en,got bit carm bear
stick fork done,en,stick fork done
please,en,please
need stop,af,need stop
become spoon asking friend,en,become spoon asking friend
well played calvin klein,en,well played calvin klein
cousin,fr,cousin
hollered screen,en,hollered screen
mean good day jeans,so,mean good day jeans
shameless actor,en,shameless actor
feel make snack,nl,feel make snack
behind,de,behind
thank blessing first thing popped opened insta,en,thank blessing first thing popped opened insta
oh eat sandwich made man,en,oh eat sandwich made man
love woman,en,love woman
pb j,sl,pb j
mi hombre,sk,My man
wow,pl,wow
yea make sandwich time,en,yea make sandwich time
yes chef sorry chef,en,yes chef sorry chef
thanks chef,en,thanks chef
oh lord,en,oh lord
never wanted pbj bad life,en,never wanted pbj bad life
tirar bordinha foi sacanagem,pt,Borinha was slutty
bro right looking good lip bear glow wild,en,bro right looking good lip bear glow wild
mofo effing fine like jesus,no,mofo effing fine like jesus
hot cold snack,en,hot cold snack
omg,sv,omg
jajajaj gracias,sl,hahaha thanks
sì chef,cy,Yes chef
babe wake new calvin klein jaw pics dropped,en,babe wake new calvin klein jaw pics dropped
yes chef,en,yes chef
ohmondieu,af,oh my God
give man candle,en,give man candle
mostly straight jeremy allen white get,en,mostly straight jeremy allen white get
hawt,so,hawt
ok snack,hr,ok snack
never wanted sandwich badly,en,never wanted sandwich badly
smeer mijn stutjes ook wi want,nl,Spread my struts too
mi amor platónico por el es normal,es,My platonic love for him is normal
snälla,fi,please
senza parole,it,without words
help,nl,help
sexiest man alive,fr,sexiest man alive
king,tl,king
waiting collab,en,waiting collab
omg illegal,tl,omg illegal
que vivan los,es,that live the
hey babygirl,so,hey babygirl
nice feet,ro,nice feet
stop,cs,stop
chef,cy,chef
get watch eat peanut butter jelly see feet free,en,get watch eat peanut butter jelly see feet free
yes chef,cy,Yes chef
يا الله الموضوع بسيط لهدرجه ولا احنا خفيفين فنيله وسوا توست بس,ar,"Oh God, the topic is simple to its hydration, and we are not light."
tryna sandwich,pl,tryna sandwich
alguém sabe qual é cor da cozinha tenho saudades lip,pt,someone knows which kitchen color I miss lip
yes chef,en,yes chef
yes,tr,yes
jail,fi,jail
il glow uo lip,it,The GLOW UP LIP
che improvvisa voglia di un toast,it,what a sudden desire for a toast
yes chef,en,yes chef
papá papázote,hu,Dadzote dad
paninetto,fi,paninetto
watched times,en,watched times
yes chef,cy,Yes chef
world needs angrier,af,world needs angrier
woah jeremy cooking good lookin,so,woah jeremy cooking good lookin
sexy af,so,Sexy of
yes chef,cy,Yes chef
mi casa mi templo mi todo,it,my house my temple my everything
chachoooo,en,chachoooo
thinking exactly,en,thinking exactly
yes chef day,cy,yes chef day
cannot,it,cannot
yes chef,cy,Yes chef
yes chef,cy,Yes chef
thank chef,en,thank chef
g,cy,g
fit,sq,fit
chef,cy,chef
nicole,it,nicole
ok papa,tl,ok daddy
yeeeeesssss,fi,yeeeeesssss
gift never ends,da,gift never ends
e alllooraaaaaa,so,by alllooaaaaaa
oh hi,cy,oh hi
tu sabes,id,you know
approach sandwich like salt bae,sv,approach sandwich like salt bae
non si puó,tl,you can not
people thınk hes hot bro,en,people thınk hes hot bro
dear lord make spoon,af,dear lord make spoon
cojoni,lt,cojons
damn,id,damn
el hombre definitivo,es,The definitive man
gawwwdddamnnnnnnn thank calvin klein,cy,gawwwdddamnnnnnnn thank calvin klein
beautiful,fr,beautiful
going implode,en,going implode
wow,pl,wow
looking like sexy gene wilder every day,af,looking like sexy gene wilder every day
yes chef,cy,Yes chef
yes chef,cy,Yes chef
chef,cy,chef
pants new believable feel personally attacked,en,pants new believable feel personally attacked
lipppp,fi,lipppp
eats half one bite,en,eats half one bite
lip would proud,en,lip would proud
che sei,de,that you are
cool denim,es,cool denim
omg lip,tl,omg lip
yes chef,cy,Yes chef
holy moly,cy,holy moly
right,en,right
dope,pt,dope
identify spoon,it,identify spoon
amen,ca,amen
somethin purrin,en,somethin purrin
framing xx,sv,framing xx
yes,tr,yes
baby,tl,baby
te amo,pt,I love you
umm customer asked pickles chef,en,umm customer asked pickles chef
yes chef,cy,Yes chef
never wanted peanut butter jelly sandwich badly life,en,never wanted peanut butter jelly sandwich badly life
aia,fi,aia
pardon mais jétais obligée de tidentifier il est pas en slip cette foisci mais le sandwich à tout de même lair délicieux,fr,Sorry but I was forced to lurk it is not in brief this time but the sandwich all the same lair delicious
love,sl,love
boy oh boy,cy,boy oh boy
sim chef,de,yes chef
ohhhh,et,ohhhh
wish spoon,en,wish spoon
saw meme,id,saw meme
bear yes chef,en,bear yes chef
love good bread bread sando,en,love good bread bread sando
may help,tl,may help
yessss cheffffff,en,yessss cheffffff
mamma mia,sw,Oh mama
weird made hour long,en,weird made hour long
literally ate,en,literally ate
day chef,cy,Day manager
señor ten piedad,es,Lord have mercy
continue gift keeps giving plus much envy spoon,en,continue gift keeps giving plus much envy spoon
nooit gedacht dat ik een lepeltje wilde zijn,nl,never thought I wanted to be a spoon
dios mío pero es que está demasiado hablo del sándwich,es,My God but it's too much I talk about sandwich
baeeeeee,nl,Baeeeeee
spent months working kitchens show revealed actor peers surprised,en,spent months working kitchens show revealed actor peers surprised
gay cannot,so,gay cannot
yeah cook,so,yeah cook
thank calvin thank much,en,thank calvin thank much
ok want sandwich,pl,ok want sandwich
oh wow,pl,oh wow
yo,tr,yo
ich sabbere immer noch,de,I'm still drooling
aber wer räumt auf,de,But who clears up
aber wer räumt auf,de,But who clears up
soy ese,es,I am that
tr amo,ca,I love you
tan enamorados ricardo montaner,es,so in love Ricardo Montaner
god spoon thumb,en,god spoon thumb
vabbè,hu,alright
yes chef,cy,Yes chef
non che dire,it,not what to say
és un concurs jeje,ca,It's a hehe contest
hay padre santo,tl,There is holy father
thirsty,en,thirsty
way man chokehold straight,en,way man chokehold straight
outta pocket give person raise,fr,outta pocket give person raise
suddenly craving pbj,en,suddenly craving pbj
welcome,nl,welcome
oh,fi,oh
giving life phenomenal always,en,giving life phenomenal always
breakfast lunch dinner pls,en,breakfast lunch dinner pls
jeansjeremy,hr,jeansmy
awantaa,so,Awanta
please chef,en,please chef
que bueno estassss,pt,How good youssss
keep us,et,keep us
puedo respirar,es,I can breathe
ahahahah bravaaa,so,ahahahah bravaaa
soy ese,es,I am that
toes kitchen yes please chef,en,toes kitchen yes please chef
ouffff guy,cy,ouffff guy
thank calvin klein video pure art,en,thank calvin klein video pure art
please jeremy family app,en,please jeremy family app
hear ears fiona fiona,en,hear ears fiona fiona
lippppp,it,Lippppp
wouahou,en,wouahou
yes chef,cy,Yes chef
yes chef jaw fine asf,en,yes chef jaw fine asf
drooling,af,drooling
fave ads ever,da,fave ads ever
yeah chef,cy,yeah chef
thought advertisement sandwich,en,thought advertisement sandwich
sin palabras,tl,wordless
move forward,en,move forward
queria levar um mata leão dele,pt,I wanted to take a forest of him
god,cy,god
oh god,cy,oh god
adam,so,adam
rikooooo,et,rikoooooo
ummmmm yeah,en,ummmmm yeah
madre de dios,es,Mother of God
ate,en,ate
kind look like cuh dey bored,af,kind look like cuh dey bored
boy,cy,boy
pb neeeeeever,nl,Pb
ooo tingling,tl,ooo tingling
fine,it,fine
sandwich,de,sandwich
weight bud,en,weight bud
va beh,af,okay
ok,sk,ok
opening app blessing,no,opening app blessing
identify spoon,it,identify spoon
making looks like bologna cheese peanut butter confused mean take making really,et,making looks like bologna cheese peanut butter confused mean take making really
بحب التراي بتاعتك يا جيمي,ar,I love you
bedtime snack okay fine,en,bedtime snack okay fine
yes chef,cy,Yes chef
lip aged well,en,lip aged well
yummmmmmmmm,da,yummmmmmmmmmmmmmmmmmmmmmmmmmmmmm
man going age like fine wine,af,man going age like fine wine
give dat,it,give dat
g,cy,g
oído chef,pt,Heard chef
yes,tr,yes
grazie mille,it,A thousand thanks
dogs everything,en,dogs everything
yes chef,cy,Yes chef
definitely read back,en,definitely read back
peró anche,ca,but too
uncrustably delicious,es,uncrustably delicious
ça rend pas pareil quand je mets le tshirt dans le pantalon la,fr,It doesn't make the same when I put the tshirt in the pants
yes chef yes,cy,yes chef yes
aspetto la tua reaction,it,I await your reaction
need hug okay chokes arms,en,need hug okay chokes arms
cannot,it,cannot
hola,cy,hello
estas bien hermoso la vdd,es,you are very beautiful the vdd
mi hombre,sk,My man
te amo precioso,es,I love you beautiful
innamorata,it,in love
respectfully bark bark bark,en,respectfully bark bark bark
gente,nl,people
carmy would never eat pbj,en,carmy would never eat pbj
much,sw,much
yesssss chefffff,en,yesssss chefffff
odiei tá lindo,af,I hated it's beautiful
boy,so,boy
uf,de,uf
خوشگلیااااا,fa,Beautiful
lip,tl,lip
yes chef,cy,Yes chef
love,sl,love
bad boy oulala il fait de la muscu dis,ca,bad boy oulala he does muscu say
old crushing youngster like look beautiful sky blue eyes,no,old crushing youngster like look beautiful sky blue eyes
je met à la cuisine de suite,fr,I put in the kitchen immediately
marry,cy,marry
yes chef,cy,Yes chef
jesus,hr,jesus
tuckworthy,en,tuckworthy
nossa que delícia,ca,Wow that delight
love,sl,love
achei que ias gostas,pt,I thought you like
good google moogly,so,good google moogly
many pushups asking friend,en,many pushups asking friend
te amo,pt,I love you
yes chef,en,yes chef
literally got bed lol,en,literally got bed lol
good jawb,so,good jawb
get hose,nl,get hose
mi hombre,sk,My man
sia lodato il,it,is praised the
quien fuera un pbj sandwich,es,Who was a Sandwich PBJ
going give aneurysm,en,going give aneurysm
philip gallagher sly dog,cy,philip gallagher sly dog
gesù,af,Jesus
economic bread winner,en,economic bread winner
arms,lv,arms
still beating heart,en,still beating heart
miss,et,miss
prende chef,fr,Take chef
un,fr,and
yes,tr,yes
arms,lv,arms
yes chef,cy,Yes chef
oublie vite la saveur si simple dun sandwich,fr,oublie vite la saveur si simple dun sandwich
omgg,tl,Omg
everything see show doubles,en,everything see show doubles
lip,tl,lip
se vabbè,it,if oh well
cannot keep,nl,cannot keep
eita gente,de,Jeez people
going leave right,en,going leave right
love,sl,love
love,sl,love
strikes,no,crricle
jk,hr,jk
going need sandwich,en,going need sandwich
cuts crust young behavior,en,cuts crust young behavior
man man man,tl,Man man
yes chef,cy,Yes chef
save jeremy allen white,en,save jeremy allen white
need,af,need
sì chef,cy,Yes chef
jesus christ,sk,jesus christ
woofff woff,en,woofff woff
madre mía rosalía bájale,es,My my rosalía bájale mother
yes,tr,yes
pbj sandwich yessss,en,pbj sandwich yessss
e vabbè che glie voi dì,it,and oh well that you tell him
hugh jackman next,en,hugh jackman next
si chef,it,Yes chef
bonus episode bear,en,bonus episode bear
made sandwich michelin star course meal,en,made sandwich michelin star course meal
question still stands,fr,question still stands
yes chef thank chef,en,yes chef thank chef
intrigued fantasy communicated cuts crusts sandwiches,en,intrigued fantasy communicated cuts crusts sandwiches
eeei quiero un,it,EEEI I want a
yes chef,cy,Yes chef
reminds harry styles snl,en,reminds harry styles snl
parece mi se clavo un sanguchito de miga de salame queso,es,My mile salame milem and miga blood looks
saying goodbye women seeing,af,saying goodbye women seeing
yes chef,cy,Yes chef
absolutely delicious,ca,absolutely delicious
te amo,pt,I love you
usually cotton look great,en,usually cotton look great
pisame,tl,write
mygod,cy,Mygod
cocina en guapo,es,Kitchen in handsome
yes chef,en,yes chef
thank god,en,thank god
delish,nl,delish
k tipo del bien,es,K type of good
feel scrolling like divorce,af,feel scrolling like divorce
fine rewatch bear,en,fine rewatch bear
gnam,tl,gnam
nossa,pt,our
real,ro,real
cuzzzinnnnn,it,cuzzzinnnnn
boom shackalacka,so,boom shackalacka
birthday gift thank much,en,birthday gift thank much
amén,hu,amen
forgive father,en,forgive father
appreciation visual eye candy,it,appreciation visual eye candy
belt creating magic without belt,en,belt creating magic without belt
true story butter,en,true story butter
yes chef,cy,Yes chef
fool motivated start working lil small dude shameless jacked af,en,fool motivated start working lil small dude shameless jacked af
sudden realllllly need sandwich,en,sudden realllllly need sandwich
yes chef,cy,Yes chef
plutón en acuario con todo,es,Pluto in Aquarius with everything
ummmmhello,da,ummmmhello
omg,sv,omg
wajoooo ebje da al gezien ja,nl,Wajoooo ebbje da already seen yes
look good eating pbj,tl,look good eating pbj
yes chef,cy,Yes chef
que que isso,fr,that's it
oh,fi,oh
one concerned salt p b sandwich amount knife cut sounds one dinky sammie,en,one concerned salt p b sandwich amount knife cut sounds one dinky sammie
spice tolerance,it,spice tolerance
mom really cooked,en,mom really cooked
gostoso,sl,tasty
yummy,tr,yummy
aeremy jallen white,fi,aeremy jallen white
precioso,es,precious
ok wow,pl,ok wow
yes chef,cy,Yes chef
maro maro,so,many many
guys remember peanut butter shameless,en,guys remember peanut butter shameless
oh good heavens,en,oh good heavens
wish bread,en,wish bread
omg,sv,omg
rawr,cy,Rawr
man making sandwich would make year know arms,en,man making sandwich would make year know arms
ag babakel ka met jorge,no,og babakel of the body
arms eyes hair arms eyes hair arms eyes hair arms eyes hair armseyeshairarmseyeshairarmseyeshairarmseyeshair,tr,arms eyes hair arms eyes hair arms eyes hair arms eyes hair armseyeshairarmseyeshairarmseyeshairarmseyeshair
wowza,pl,wowza
never wanted pbj,af,never wanted pbj
oh,fi,oh
pqp,sq,PQP
yes chef,cy,Yes chef
also look like make pbj,sl,also look like make pbj
dağıma senin gbi kar versin rabbim dua,tr,"May your distribution give you a profit, my Lord prayer"
make look tall,et,make look tall
ay por dios,es,Oh by God
yummy,tr,yummy
cool slurs okay,en,cool slurs okay
yes chef,cy,Yes chef
εδώ σοβάρεψε η φάση ανακόντα το μπράτσο κι,el,Here the phase of the armor was stunned and the arm
day night chef,cy,day night chef
yes chef,cy,Yes chef
wait dam minute,id,wait dam minute
yes chef,cy,Yes chef
calvin getting right jaw sure,en,calvin getting right jaw sure
yes chef,cy,Yes chef
yum,tr,yum
aww knows much hate crust,en,aww knows much hate crust
know use hand doubles bear would assume let make pbj,en,know use hand doubles bear would assume let make pbj
okay thank,so,okay thank
drooling comment section thanks,en,drooling comment section thanks
yes chef,cy,Yes chef
staying better making pbj,no,staying better making pbj
yes chef,en,yes chef
é feio mais lindo,pt,It is ugly most beautiful
cristo,it,cristo
yes chef,cy,Yes chef
need get hands,nl,need get hands
goodness,hr,goodness
get body never lol,da,get body never lol
yes chef,cy,Yes chef
going feral,en,going feral
new wolverine,en,new wolverine
yes chef,en,yes chef
exactly asked santa thank,en,exactly asked santa thank
man sexy,id,man sexy
lip,tl,lip
cannot get enough kitchen,en,cannot get enough kitchen
cannot today,en,cannot today
feed,cy,feed
think need pbj,en,think need pbj
bellísimo dios mío,pt,beautiful my God
still proud middle school self seeing potential beautiful man used obsessed,en,still proud middle school self seeing potential beautiful man used obsessed
whoever runs account needs raise comment alone,en,whoever runs account needs raise comment alone
yes chef,cy,Yes chef
pb j,sl,pb j
man beautiful,id,man beautiful
mon dieu je veux bien prendre la place du sandwich,fr,my God I want to take the place of the sandwich
needed today thank,en,needed today thank
cooked,en,cooked
sí chef,cs,Yes chef
comment getting enough love,en,comment getting enough love
cómo lo,es,How
hrrrrrr,sq,hrrrrrr
tu veux être ce sandwich,fr,You want to be this sandwich
novio,sl,boyfriend
way made peanut butter jelly plz chef,en,way made peanut butter jelly plz chef
yes chef,cy,Yes chef
yes chef,en,yes chef
raise,fi,raise
wow,pl,wow
espero que mi chiquitita la rosalía siga bien vitaminada,es,I hope my little girl is still well vitamin
oh,fi,oh
na bue,tl,under the bus
sorry,sv,sorry
mini sweet,et,mini sweet
yes chef,cy,Yes chef
lip gallagher,tl,lip gallagher
słodki jezu,pl,Sweet Jesus
last checking profile every day finally paid scream screamt insane,en,last checking profile every day finally paid scream screamt insane
thought joint photoshopped,en,thought joint photoshopped
make sandwich,sw,make sandwich
chef dime cómo lograr esa apariencia comiendo pan bimbo,es,chef tell me how to achieve that appearance eating bimbo bread
es el ex está con su compañera de elenco,es,He is the ex is with his cast partner
merci p,it,thank you p
yess cheefffff,en,yess cheefffff
wow,pl,wow
ok,sk,ok
thank always motivating calvin klein,en,thank always motivating calvin klein
made day wow,so,made day wow
el almuerzo de hoy,es,Today's lunch
good job,so,good job
lip venceu na vida,pt,Lip won in life
lipschwitz,de,lipschwitz
yes chef,cy,Yes chef
make pbj anytime,sq,make pbj anytime
yes chef,en,yes chef
sold,da,sold
guns,tl,guns
appétissant ce sandwich,fr,appetizing this sandwich
μου λειπεις,el,you miss me
