text_no_emoji,lang,translated_text
looking like sexy gene wilder every day,af,looking like sexy gene wilder every day
yes chef,cy,Yes chef
yes chef,cy,Yes chef
chef,cy,chef
lipppp,fi,lipppp
che sei,de,that you are
cool denim,es,cool denim
omg lip,tl,omg lip
yes chef,cy,Yes chef
holy moly,cy,holy moly
dope,pt,dope
identify spoon,it,identify spoon
amen,ca,amen
framing xx,sv,framing xx
yes,tr,yes
baby,tl,baby
te amo,pt,I love you
yes chef,cy,Yes chef
aia,fi,aia
pardon mais jétais obligée de tidentifier il est pas en slip cette foisci mais le sandwich à tout de même lair délicieux,fr,Sorry but I was forced to lurk it is not in brief this time but the sandwich all the same lair delicious
love,sl,love
boy oh boy,cy,boy oh boy
sim chef,de,yes chef
ohhhh,et,ohhhh
saw meme,id,saw meme
may help,tl,may help
mamma mia,sw,Oh mama
day chef,cy,Day manager
señor ten piedad,es,Lord have mercy
nooit gedacht dat ik een lepeltje wilde zijn,nl,never thought I wanted to be a spoon
dios mío pero es que está demasiado hablo del sándwich,es,My God but it's too much I talk about sandwich
baeeeeee,nl,Baeeeeee
gay cannot,so,gay cannot
yeah cook,so,yeah cook
ok want sandwich,pl,ok want sandwich
oh wow,pl,oh wow
yo,tr,yo
ich sabbere immer noch,de,I'm still drooling
aber wer räumt auf,de,But who clears up
aber wer räumt auf,de,But who clears up
soy ese,es,I am that
tr amo,ca,I love you
tan enamorados ricardo montaner,es,so in love Ricardo Montaner
vabbè,hu,alright
yes chef,cy,Yes chef
non che dire,it,not what to say
és un concurs jeje,ca,It's a hehe contest
hay padre santo,tl,There is holy father
outta pocket give person raise,fr,outta pocket give person raise
welcome,nl,welcome
oh,fi,oh
jeansjeremy,hr,jeansmy
awantaa,so,Awanta
que bueno estassss,pt,How good youssss
keep us,et,keep us
puedo respirar,es,I can breathe
ahahahah bravaaa,so,ahahahah bravaaa
soy ese,es,I am that
ouffff guy,cy,ouffff guy
lippppp,it,Lippppp
yes chef,cy,Yes chef
drooling,af,drooling
fave ads ever,da,fave ads ever
yeah chef,cy,yeah chef
sin palabras,tl,wordless
queria levar um mata leão dele,pt,I wanted to take a forest of him
god,cy,god
oh god,cy,oh god
adam,so,adam
rikooooo,et,rikoooooo
madre de dios,es,Mother of God
kind look like cuh dey bored,af,kind look like cuh dey bored
boy,cy,boy
pb neeeeeever,nl,Pb
ooo tingling,tl,ooo tingling
fine,it,fine
sandwich,de,sandwich
va beh,af,okay
ok,sk,ok
opening app blessing,no,opening app blessing
identify spoon,it,identify spoon
making looks like bologna cheese peanut butter confused mean take making really,et,making looks like bologna cheese peanut butter confused mean take making really
بحب التراي بتاعتك يا جيمي,ar,I love you
yes chef,cy,Yes chef
yummmmmmmmm,da,yummmmmmmmmmmmmmmmmmmmmmmmmmmmmm
man going age like fine wine,af,man going age like fine wine
give dat,it,give dat
g,cy,g
oído chef,pt,Heard chef
yes,tr,yes
grazie mille,it,A thousand thanks
yes chef,cy,Yes chef
peró anche,ca,but too
uncrustably delicious,es,uncrustably delicious
ça rend pas pareil quand je mets le tshirt dans le pantalon la,fr,It doesn't make the same when I put the tshirt in the pants
yes chef yes,cy,yes chef yes
aspetto la tua reaction,it,I await your reaction
cannot,it,cannot
hola,cy,hello
estas bien hermoso la vdd,es,you are very beautiful the vdd
mi hombre,sk,My man
te amo precioso,es,I love you beautiful
innamorata,it,in love
gente,nl,people
much,sw,much
odiei tá lindo,af,I hated it's beautiful
boy,so,boy
uf,de,uf
خوشگلیااااا,fa,Beautiful
lip,tl,lip
yes chef,cy,Yes chef
love,sl,love
bad boy oulala il fait de la muscu dis,ca,bad boy oulala he does muscu say
old crushing youngster like look beautiful sky blue eyes,no,old crushing youngster like look beautiful sky blue eyes
je met à la cuisine de suite,fr,I put in the kitchen immediately
marry,cy,marry
yes chef,cy,Yes chef
jesus,hr,jesus
nossa que delícia,ca,Wow that delight
love,sl,love
achei que ias gostas,pt,I thought you like
good google moogly,so,good google moogly
te amo,pt,I love you
good jawb,so,good jawb
get hose,nl,get hose
mi hombre,sk,My man
sia lodato il,it,is praised the
quien fuera un pbj sandwich,es,Who was a Sandwich PBJ
philip gallagher sly dog,cy,philip gallagher sly dog
gesù,af,Jesus
arms,lv,arms
miss,et,miss
prende chef,fr,Take chef
un,fr,and
yes,tr,yes
arms,lv,arms
yes chef,cy,Yes chef
oublie vite la saveur si simple dun sandwich,fr,oublie vite la saveur si simple dun sandwich
omgg,tl,Omg
lip,tl,lip
se vabbè,it,if oh well
cannot keep,nl,cannot keep
eita gente,de,Jeez people
love,sl,love
love,sl,love
strikes,no,crricle
jk,hr,jk
man man man,tl,Man man
yes chef,cy,Yes chef
need,af,need
sì chef,cy,Yes chef
jesus christ,sk,jesus christ
madre mía rosalía bájale,es,My my rosalía bájale mother
yes,tr,yes
e vabbè che glie voi dì,it,and oh well that you tell him
si chef,it,Yes chef
question still stands,fr,question still stands
eeei quiero un,it,EEEI I want a
yes chef,cy,Yes chef
parece mi se clavo un sanguchito de miga de salame queso,es,My mile salame milem and miga blood looks
saying goodbye women seeing,af,saying goodbye women seeing
yes chef,cy,Yes chef
absolutely delicious,ca,absolutely delicious
te amo,pt,I love you
pisame,tl,write
mygod,cy,Mygod
cocina en guapo,es,Kitchen in handsome
delish,nl,delish
k tipo del bien,es,K type of good
feel scrolling like divorce,af,feel scrolling like divorce
gnam,tl,gnam
nossa,pt,our
real,ro,real
cuzzzinnnnn,it,cuzzzinnnnn
boom shackalacka,so,boom shackalacka
amén,hu,amen
appreciation visual eye candy,it,appreciation visual eye candy
yes chef,cy,Yes chef
yes chef,cy,Yes chef
plutón en acuario con todo,es,Pluto in Aquarius with everything
ummmmhello,da,ummmmhello
omg,sv,omg
wajoooo ebje da al gezien ja,nl,Wajoooo ebbje da already seen yes
look good eating pbj,tl,look good eating pbj
yes chef,cy,Yes chef
que que isso,fr,that's it
oh,fi,oh
spice tolerance,it,spice tolerance
gostoso,sl,tasty
yummy,tr,yummy
aeremy jallen white,fi,aeremy jallen white
precioso,es,precious
ok wow,pl,ok wow
yes chef,cy,Yes chef
maro maro,so,many many
omg,sv,omg
rawr,cy,Rawr
ag babakel ka met jorge,no,og babakel of the body
arms eyes hair arms eyes hair arms eyes hair arms eyes hair armseyeshairarmseyeshairarmseyeshairarmseyeshair,tr,arms eyes hair arms eyes hair arms eyes hair arms eyes hair armseyeshairarmseyeshairarmseyeshairarmseyeshair
wowza,pl,wowza
never wanted pbj,af,never wanted pbj
oh,fi,oh
pqp,sq,PQP
yes chef,cy,Yes chef
also look like make pbj,sl,also look like make pbj
dağıma senin gbi kar versin rabbim dua,tr,"May your distribution give you a profit, my Lord prayer"
make look tall,et,make look tall
ay por dios,es,Oh by God
yummy,tr,yummy
yes chef,cy,Yes chef
εδώ σοβάρεψε η φάση ανακόντα το μπράτσο κι,el,Here the phase of the armor was stunned and the arm
day night chef,cy,day night chef
yes chef,cy,Yes chef
wait dam minute,id,wait dam minute
yes chef,cy,Yes chef
yes chef,cy,Yes chef
yum,tr,yum
okay thank,so,okay thank
yes chef,cy,Yes chef
staying better making pbj,no,staying better making pbj
é feio mais lindo,pt,It is ugly most beautiful
cristo,it,cristo
yes chef,cy,Yes chef
need get hands,nl,need get hands
goodness,hr,goodness
get body never lol,da,get body never lol
yes chef,cy,Yes chef
man sexy,id,man sexy
lip,tl,lip
feed,cy,feed
bellísimo dios mío,pt,beautiful my God
yes chef,cy,Yes chef
pb j,sl,pb j
man beautiful,id,man beautiful
mon dieu je veux bien prendre la place du sandwich,fr,my God I want to take the place of the sandwich
sí chef,cs,Yes chef
cómo lo,es,How
hrrrrrr,sq,hrrrrrr
tu veux être ce sandwich,fr,You want to be this sandwich
novio,sl,boyfriend
yes chef,cy,Yes chef
raise,fi,raise
wow,pl,wow
espero que mi chiquitita la rosalía siga bien vitaminada,es,I hope my little girl is still well vitamin
oh,fi,oh
na bue,tl,under the bus
sorry,sv,sorry
mini sweet,et,mini sweet
yes chef,cy,Yes chef
lip gallagher,tl,lip gallagher
słodki jezu,pl,Sweet Jesus
make sandwich,sw,make sandwich
chef dime cómo lograr esa apariencia comiendo pan bimbo,es,chef tell me how to achieve that appearance eating bimbo bread
es el ex está con su compañera de elenco,es,He is the ex is with his cast partner
merci p,it,thank you p
wow,pl,wow
ok,sk,ok
made day wow,so,made day wow
el almuerzo de hoy,es,Today's lunch
good job,so,good job
lip venceu na vida,pt,Lip won in life
lipschwitz,de,lipschwitz
yes chef,cy,Yes chef
make pbj anytime,sq,make pbj anytime
sold,da,sold
guns,tl,guns
appétissant ce sandwich,fr,appetizing this sandwich
μου λειπεις,el,you miss me
lip day,tl,lip day
hola,cy,hello
hottie,fi,hottie
snack,hr,snack
zaddy,cy,zaddy
day eyes,so,day eyes
arms,lv,arms
lip,tl,lip
yes chef,cy,Yes chef
yes chef,cy,Yes chef
yes chef,cy,Yes chef
ugh,so,ugh
lip,tl,lip
che voglia di pan bauletto,it,What a desire for pan bauletto
yes chef,cy,Yes chef
jaw,pl,jaw
na bueno,tl,Good
need dat,af,Need that
meow,pl,meow
hágame un pancito con quesito,es,hágame a pancito with question
te entiendo rosalia,es,I understand you Rosalia
mean say like blonde men,no,mean say like blonde men
ay diosssss meeeeooooooo,af,is diosssss meeeeoooooooo
yes chef,cy,Yes chef
du nouveau dans la cuisine,fr,New in the kitchen
agora gnt entendeu,fr,Now GNT understood
exquisite,fr,exquisite
hi,sw,hi
ta divooooo maaaaaas calvin klein faz outra surpresa por favor,af,ta divooooo maaaaaas calvin klein makes another surprise please
eu tooooooooo apaixonada,so,me toooooooo in love
yes,tr,yes
yes chef,cy,Yes chef
yes chef,cy,Yes chef
ohlala mon dieu,fr,Ohlala my god
io non ti dico niente,it,I don't tell you anything
alert alert,no,alert alert
papi,tl,papi
ok lip gallagher,tl,ok lip gallagher
amén jeremy,hu,Amen Jeremy
recipe,es,recipe
te calmas,pt,You calm down
yes chef dead chef,cy,yes chef dead chef
yes chef yes,cy,yes chef yes
neeeem,nl,neeeem
ciaone,it,Ciaone
mercy,cy,mercy
perché dire,fr,why to say
dude making bread sandwich,tl,dude making bread sandwich
menos ropa muestre las calugas,es,Less clothing shows the calugas
goodddd morning,cy,goodddd morning
lip,tl,lip
si chef,it,Yes chef
tant être une cuillère,fr,Both be a spoon
mi autocensuro,ro,I self -censure
need,af,need
traedme de vuelta jung kook calvin klein,et,trading the foxta jung cooks calvin small
looks great guy,af,looks great guy
será pan bimbo,tl,It will be Bimbo bread
carm,ro,CARM
chef anche se non mi cucini piatti stellati va bene lo stessooooooo,it,chef even if you don't cook starry dishes me is fine the sameoooooo
make melt dontcha,nl,make melt dontcha
apaixonada,pt,passionate
love,sl,love
dexter feel,nl,dexter feel
mds,nl,mds
dude bench press biscotti roll,it,dude bench press biscotti roll
looks like ai,et,looks like ai
yes chef,cy,Yes chef
oh god,cy,oh god
que ganas de ser su mermelada,es,What a desire to be his jam
bon matin,tl,good morning
ever want spoon,af,ever want spoon
ti amo,lt,I love you
look great,af,look great
سلااام,ur,Salaam
yes chef,cy,Yes chef
yes chef,cy,Yes chef
sexiest man alive,fr,sexiest man alive
lindo,sq,lindo
cristo maría josé,es,Cristo María José
boy gym,cy,boy gym
meu marido te amo,pt,my husband love you
meu deus,fr,my God
yes chef,cy,Yes chef
smettila di essere cosi dannatamente bono,it,Stop being so damn Bono
feeet,nl,feeet
total dream,ca,total dream
calvin klein,nl,calvin klein
love,sl,love
oh god cannot,cy,oh god cannot
omg lui aussi il fait des pompes avant de sortir sur,fr,OMG too he makes pumps before going out on
chachoooooooo,nl,Chachooooooooo
yes chef,cy,Yes chef
chef,cy,chef
bet make sandwich,nl,bet make sandwich
pues ya está con ella ya hace mucho ennnn,es,"Well, it's already with her long ago Ennnn"
well yes,cy,well yes
yes chef,cy,Yes chef
dig,af,dig
jesus crust,hr,jesus crust
stiamo tutti calmi,it,We are all calm
rosalía está ganandooooo,es,Rosalia is winning
favvv chef,it,FAVVV boss
holy,cy,holy
mean making,tl,mean making
next let us go next let us go,fr,next let us go next let us go
let rip,fr,let rip
bark bark,tr,bark bark
unfair beautiful man,fr,unfair beautiful man
yes chef,cy,Yes chef
want pbj,sw,want pbj
sirrrrrr,sq,sirrrrrr
like,et,like
salt pepper pbj,no,salt pepper pbj
yes chef,cy,Yes chef
wow okay need inhaler,so,wow okay need inhaler
oh,fi,oh
yes chef,cy,Yes chef
mi novio preparandome un sanguchito,it,My boyfriend preparing me a blood
vale convencido calvin,es,VALLEY CONVENIED CALVIN
amor ya te dije que gusta con los bordes,es,Love I already told you that I like the edges
nobody mistaken spoon something else,no,nobody mistaken spoon something else
love life,sl,love life
need,af,need
good day bread,so,good day bread
hey arnold,cy,hey arnold
yes cheeeeeef,nl,yes cheeeeeef
keep us,et,keep us
daddy,cy,daddy
yes,tr,yes
ga gini juga,hr,Ga like this too
yes chefffff,cy,yes chefffff
oh,fi,oh
identify pb sandwich,cy,identify pb sandwich
aiuto sta,it,help is
need,af,need
cousin,fr,cousin
te entiendo tanto rosalía,es,I understand you so much Rosalia
ate left crumbs,ro,ate left crumbs
sì,vi,Yes
passa treino de biceps e ombro ai,pt,PASS BICEPS TRAINING AND SHOULDER AI
mean man,id,mean man
hottie,fi,hottie
llevame la cama,ca,Take me the bed
ufggg encanta este hombre,es,UFGG loves this man
super sexy,ca,super sexy
good,so,good
yes chef,cy,Yes chef
madonna,et,madonna
ok tranquilo el chef,it,Ok quiet the chef
oh wow,pl,oh wow
yessss,fi,yessss
yes chef,cy,Yes chef
tan chulo mi,so,so cool mi
yes chef,cy,Yes chef
ok chef,sk,Ok chef
oh hell yes,cy,oh hell yes
calvin klein woke,nl,calvin klein woke
man,tl,man
yes,tr,yes
eh si perché guardiamo jeans calvin,pt,Eh yes because we look at Calvin jeans
yes,tr,yes
god,cy,god
pbj kink,lt,PBJ Kink
yes chef,cy,Yes chef
love,sl,love
calvin,ro,calvin
makes real quick pbj,et,makes real quick pbj
dios miooo,lt,Myooo God
take whatever selling,no,take whatever selling
de repente agarró hambre,es,Suddenly he grabbed hunger
les avants bras,fr,The front arms
yes lawd,cy,ndems
oh spoon,et,oh spoon
lmao go king,tl,lmao go king
morphs pbj,lt,morphs pbj
lo stavi pensando,it,You were thinking about it
buenos días primero que todo,es,Good morning first of all
yes chef,cy,Yes chef
want spoon right,af,want spoon right
see see,af,see see
non è legale,it,it is not legal
gostoso,sl,tasty
ok ok,sk,ok ok
well done,cy,well done
oh hi chef,cy,oh hi chef
jeremy allen klein,no,Jeremy Allen Klein
por dió,es,by dió
meannnnnnnn,fi,meannnnnnn
quién fuese cuchara,es,Who was a spoon
never jealous spoon,et,never jealous spoon
smettila dai,it,Stop it from
berzatto,hu,berzatto
galager,so,galager
want stay,af,want stay
oh,fi,oh
yes god,cy,yes god
que,ca,what
vabbè,hu,alright
sheesh,sq,sheesh
yes chef,cy,Yes chef
santa,tl,santa
go making days brighter,tl,go making days brighter
hot,cs,hot
oh,fi,oh
omg,sv,omg
que bendición,es,What a blessing
sudah bang sudah,id,Already Bang
moodboard,so,mood board
sì chef,cy,Yes chef
todo lo hace bien,es,everything does well
sandwich de aire,de,air sandwich
lip,tl,lip
always lip,tl,always lip
yes,tr,yes
better man,da,better man
daddy chill,cy,daddy chill
deserve,da,deserve
si chef,it,Yes chef
always,so,always
yes,tr,yes
queria ser esse sanduíche,ca,I wanted to be this sandwich
spoon,et,spoon
con ustedes raúl alejandro,es,With you Raúl Alejandro
queres uma sandocha,pt,You want a sandoc
te entiendo plebona,es,I understand you plebon
dream man,pt,dream man
le queda genial el chaval es majísimo un gran actor,es,The kid is great is great a great actor
dead,es,dead
yes chef,cy,Yes chef
si chef,it,Yes chef
google come si diventa una fetta di pane,it,Google how you become a slice of bread
yes chef,cy,Yes chef
handsome specimen man,sv,handsome specimen man
más fuerte que cachetada de transformer,es,Stronger than Transformer slapping
dios mío gracias por esta creación,es,My God thank you for this creation
cociname lo que sea,es,Cook whatever
gostoso,sl,tasty
derritoooo,nl,derritoooo
bro makes making pbj look,tl,bro makes making pbj look
early bird,tr,early bird
compraria un boxer solo xq lo esta vendiendo el jeremy,es,I would buy a boxer only because the Jeremy is selling it
boomshakalakaaaaaa,so,Boomshakaaaaaa
ohhhhhhhmygod,cy,Ohhhhhhhmygod
purr,sq,purr
deberían hacer la versión got milk,es,deberían hacer la versión got milk
need,af,need
coño quien fuera cuchara,es,coño quien fuera cuchara
dat uw moksje ja,hr,dat uw moksje ja
pls,lv,pls
look great,af,look great
hey going insane,tl,hey going insane
cmonnnnnnnn,fr,cmonnnnnnn
sheesh,sq,sheesh
hands,sv,hands
nah bueno,id,good nah
ammazza bro complimenti ai genitori,it,Kill Bro Congratulations to the parents
omg die gast,af,OMG the guest
lawd mercy,cy,The last Mercy
kind guy age,tl,kind guy age
bro papucho,cs,Bro Papucho
hachi machi,sw,8 Streets
cousin,fr,cousin
oh,fi,oh
yes chef,cy,Yes chef
nice,pl,nice
omg,sv,omg
make sandwich,sw,make sandwich
ola haces un sándwich,es,wave you make a sandwich
feral,ca,feral
encore et toujours,fr,again and again
yesssssss,fi,yesssssss
okkk,fi,okkk
yes chef,cy,Yes chef
oh,fi,oh
say pregnant,tl,say pregnant
geez,nl,geez
chef,cy,chef
homem céyou,pt,man
husband,sw,husband
si,fi,and
hot jean fit,sq,hot jean fit
یا علی ممد,ar,Or Ali Mamad
dear lord,es,dear lord
aaaahhh keep making campaigns man,id,aaaahhh keep making campaigns man
yes chef,cy,Yes chef
calvin say unison,it,calvin say unison
nossa janta de tds os dias né amor,pt,Our dinner of all days right love
pbj new favorite sammich,sk,PBJ New Favorite Sammich
toes,af,toes
independent person please make sandwich,nl,independent person please make sandwich
yes chef,cy,Yes chef
ok lip know make pbj,hr,ok lip know make pbj
gakuat,id,No
aku pingin jadi sandwich,id,I want to be a sandwich
someone say sandwich,tl,someone say sandwich
would like snack,af,would like snack
semplicemente wow,nl,simply wow
lip,tl,lip
wow,pl,wow
se ciaooo,pt,SE CIAOO
wow,pl,wow
que hombre,fr,What a man
pffff much,cy,pffff much
hola,cy,hello
buset bang udah bang,id,buset bang udah bang
ah ok,so,ah ok
marry,sq,marry
es como que siempre pilla desprevenida,es,It's like always caught off
yes chef,cy,Yes chef
hot,cs,hot
love calvin klein,sl,love calvin klein
